"GPA","Gender","breakfast","calories_chicken","calories_day","calories_scone","coffee","comfort_food_reasons_coded","cook","cuisine","diet_current_coded","drink","eating_changes_coded","eating_changes_coded1","eating_out","employment","ethnic_food","exercise","father_education","fav_cuisine_coded","fav_food","fries","fruit_day","grade_level","greek_food","healthy_feeling","ideal_diet_coded","income","indian_food","italian_food","life_rewarding","marital_status","mother_education","nutritional_check","on_off_campus","parents_cook","pay_meal_out","persian_food","self_perception_weight","soup","sports","thai_food","tortilla_calories","turkey_calories","veggies_day","vitamins","waffle_calories","weight","kg"
3.5,"Female",1,610,3,420,1,2,1,1,1,1,1,3,3,2,4,1,2,4,3,1,5,2,4,3,5,2,3,5,1,2,2,4,1,1,2,3,4,2,1,3,940,500,5,1,760,140,63.5035834164928
3.2,"Female",1,610,NA,315,2,2,2,2,2,1,1,11,3,3,3,2,5,1,3,1,3,2,3,3,6,6,1,5,3,2,NA,1,1,2,5,1,2,1,2,4,725,500,3,2,900,112,50.8028667331942
3,"Female",1,720,3,420,1,3,2,1,1,2,1,3,2,3,3,NA,2,5,1,1,5,1,4,3,5,4,3,5,3,2,4,4,1,1,3,3,2,1,1,3,940,500,5,1,900,125,56.69962805044
3.6,"Female",1,610,2,420,1,2,4,1,2,2,1,3,3,2,5,2,2,1,1,1,5,2,2,2,7,5,2,4,2,2,3,2,1,2,4,1,2,1,1,2,940,690,5,2,1315,144,65.3179715141069
3.2,"Female",1,430,3,315,1,1,3,1,1,2,1,3,1,3,4,1,5,1,1,1,5,1,3,8,3,6,2,5,8,2,5,3,1,1,4,2,3,1,1,4,725,500,5,2,760,145,65.7715685385104
3.67,"Female",2,720,4,420,2,2,2,NA,2,2,1,3,2,3,2,2,4,1,1,1,3,3,1,3,4,6,1,5,3,2,4,4,2,1,3,1,3,2,2,5,1165,690,5,1,1315,130,58.9676131724576
3.73,"Female",1,610,3,980,2,2,3,1,1,1,1,8,1,2,5,2,4,1,1,2,5,3,5,3,1,3,5,5,2,2,2,2,1,1,3,5,3,1,1,5,1165,500,5,1,1315,140,63.5035834164928
4,"Female",1,720,NA,420,2,2,2,1,1,1,1,11,1,2,5,1,2,1,1,2,5,3,3,5,3,5,4,5,2,2,4,4,1,1,6,3,4,1,1,4,1165,690,5,1,1315,140,63.5035834164928
3.1,"Male",2,610,3,980,2,2,3,1,2,2,1,3,1,2,4,2,NA,0,2,1,5,1,2,3,7,5,3,5,2,1,4,2,1,1,2,2,3,1,2,3,1165,345,5,1,1315,140,63.5035834164928
3.79,"Male",1,720,4,420,2,2,1,1,2,2,2,12,4,3,3,1,4,2,1,1,3,2,3,1,3,6,1,5,2,2,2,5,3,1,3,1,3,1,1,2,1165,850,4,1,1315,200,90.719404880704
2.71,"Male",2,265,2,420,1,9,2,4,4,2,3,4,1,3,3,2,1,0,2,1,4,3,3,8,8,3,3,3,10,4,1,2,2,3,5,3,3,1,2,3,580,345,4,2,760,NA,NA
3,"Female",1,610,3,420,2,3,3,1,1,1,1,3,2,2,5,1,4,1,1,1,5,1,3,6,2,5,4,5,9,2,4,4,1,2,4,3,3,1,2,4,940,500,4,1,900,120,54.4316429284224
3.7,"Female",2,610,3,420,1,2,2,1,2,2,1,3,2,2,2,2,2,5,3,1,4,4,2,4,3,3,1,5,4,1,5,3,2,1,3,1,4,2,1,1,1165,690,2,2,1315,150,68.039553660528
